Month,Department,Budgeted Amount,Actual Spending,Variance
Oct,Marketing,13422,11851,-1571
Oct,IT,10706,12318,1612
Feb,Finance,13996,14618,622
Oct,Sales,13828,12734,-1094
Mar,IT,8466,10058,1592
Mar,Operations,14024,12902,-1122
May,Sales,5998,8823,2825
Apr,Operations,14026,11133,-2893
Dec,Finance,10253,7491,-2762
Jun,Sales,5933,6607,674
Jul,Sales,14434,13474,-960
Feb,Marketing,10926,8479,-2447
May,Sales,10122,11892,1770
Nov,HR,9586,12454,2868
Nov,Sales,10048,12519,2471
Aug,Finance,14630,12127,-2503
Jun,Sales,10754,8537,-2217
Jul,Marketing,14300,13312,-988
Aug,HR,12347,11881,-466
Jul,IT,13048,13454,406
Jan,IT,15306,15851,545
Feb,HR,14422,11833,-2589
Mar,Finance,18314,19474,1160
Sep,HR,18885,18161,-724
Jan,HR,19226,18564,-662
Jan,IT,14360,13637,-723
Sep,HR,17763,20555,2792
Jun,Sales,16591,17623,1032
Oct,IT,12247,14984,2737
Feb,Sales,8991,11032,2041
Jun,HR,19915,16959,-2956
Sep,Operations,9812,11129,1317
Nov,IT,6990,6046,-944
Jun,IT,19748,18436,-1312
Jul,Marketing,7952,6414,-1538
May,HR,8851,7805,-1046
Sep,Operations,15721,14240,-1481
May,Operations,9652,11033,1381
Nov,Sales,10187,11957,1770
Sep,HR,5607,4281,-1326
May,Marketing,5584,8031,2447
Sep,IT,12697,10569,-2128
Jun,Marketing,13784,11494,-2290
Feb,Marketing,6659,6480,-179
Nov,Finance,10576,11274,698
Mar,IT,18885,19979,1094
Jun,HR,13604,12632,-972
Mar,HR,16574,17598,1024
Nov,Finance,16440,16974,534
May,IT,8809,8072,-737
May,Marketing,6766,7588,822
Apr,Finance,7520,8601,1081
Nov,Finance,5801,3140,-2661
Jun,Marketing,6310,5933,-377
Mar,Marketing,19324,17804,-1520
Apr,Operations,12864,15351,2487
Dec,Marketing,7895,9982,2087
Aug,Finance,9158,8163,-995
Sep,Marketing,14761,15423,662
Feb,Operations,17595,18189,594
Apr,Operations,7970,7445,-525
Nov,HR,14407,12625,-1782
Apr,Sales,15226,16318,1092
Jul,IT,14547,16774,2227
Apr,Sales,13587,14294,707
Sep,Finance,12237,11540,-697
Aug,Sales,14084,15726,1642
Aug,IT,11738,9247,-2491
Jul,Marketing,11470,8678,-2792
Dec,Operations,18844,18754,-90
Aug,Finance,15258,15423,165
Nov,Sales,10205,11697,1492
Feb,Marketing,12918,14882,1964
Mar,Operations,11037,10497,-540
May,Operations,15091,17206,2115
Dec,Marketing,15392,13997,-1395
Sep,Finance,16029,15125,-904
Aug,HR,13488,14135,647
Mar,Finance,11833,13619,1786
Jul,IT,12614,14006,1392
Apr,Marketing,8699,9158,459
Dec,Sales,6723,7351,628
Jun,HR,14813,16777,1964
Aug,Marketing,12389,12551,162
Aug,Finance,11302,10323,-979
Apr,HR,11873,10566,-1307
Feb,Finance,11887,13920,2033
Apr,IT,12627,11373,-1254
May,Sales,17586,15300,-2286
Jun,HR,12444,12247,-197
Jul,Finance,9869,7476,-2393
Oct,Finance,6574,3902,-2672
Mar,Marketing,18781,20640,1859
Mar,Sales,5155,7207,2052
Aug,HR,11897,11582,-315
Nov,HR,6053,5968,-85
Aug,HR,9598,7578,-2020
Jan,IT,10854,12668,1814
May,Marketing,9209,9618,409
Jun,Sales,9903,7350,-2553
Jun,Operations,18281,18291,10
Aug,Marketing,9283,10327,1044
Feb,HR,6217,8198,1981
Mar,HR,6391,8251,1860
Sep,Marketing,6929,9280,2351
Sep,IT,18347,18823,476
Oct,Finance,11460,8608,-2852
Sep,IT,11899,13023,1124
Dec,Finance,18692,21573,2881
Jul,Operations,16277,18713,2436
Dec,Finance,18879,21374,2495
Oct,Sales,13097,16012,2915
Jul,IT,12505,14240,1735
Apr,Finance,9248,7404,-1844
Dec,HR,9975,12061,2086
Sep,Marketing,16554,13783,-2771
Oct,Marketing,11974,11732,-242
Jul,HR,15257,15113,-144
Apr,Marketing,16035,17190,1155
Jan,IT,8518,8581,63
Dec,Sales,8692,10734,2042
Apr,IT,15101,13270,-1831
Nov,Marketing,13630,15450,1820
Jan,Operations,13413,10638,-2775
Oct,Finance,12697,11910,-787
Jul,Marketing,16557,14073,-2484
Dec,IT,15578,15753,175
Oct,Finance,6841,7341,500
Jan,Sales,8575,6506,-2069
Aug,HR,10191,13020,2829
May,HR,6797,7378,581
Nov,HR,17975,20197,2222
Jun,Marketing,12728,10102,-2626
Jun,HR,13415,12255,-1160
Jul,HR,16353,18541,2188
Nov,Sales,12861,14699,1838
Jan,Sales,9569,9503,-66
Jun,IT,14300,15703,1403
Jan,Operations,17251,18272,1021
Jun,HR,17914,20759,2845
Aug,HR,17589,19374,1785
Nov,IT,5396,2628,-2768
Oct,Marketing,9480,11194,1714
Nov,Operations,11562,11864,302
Jun,Marketing,7218,8247,1029
Aug,HR,17534,20121,2587
Feb,IT,9271,10080,809
Nov,HR,6046,5181,-865
Jul,HR,9981,9410,-571
Jun,IT,18195,19081,886
Dec,Operations,18284,16202,-2082
Sep,IT,11324,13706,2382
Oct,IT,17193,17477,284
Sep,Sales,18824,17770,-1054
Dec,Finance,18624,20573,1949
Jul,Marketing,8934,9721,787
Oct,Sales,10142,8097,-2045
Apr,HR,19647,20439,792
Nov,HR,5164,3366,-1798
Nov,Sales,12807,10154,-2653
Jan,Sales,17806,17874,68
Jul,HR,6477,7532,1055
Jul,Finance,13821,11601,-2220
Oct,HR,16614,15559,-1055
Aug,Finance,8685,8970,285
Oct,Sales,17307,14842,-2465
Jul,Sales,9549,8206,-1343
Nov,HR,10043,12227,2184
Nov,IT,18652,17865,-787
Jan,IT,17013,17238,225
Aug,Finance,10227,11530,1303
Nov,Operations,12153,14759,2606
Aug,HR,16471,14426,-2045
Oct,Sales,13674,14346,672
Mar,Operations,16169,16959,790
Sep,Marketing,13413,15012,1599
Dec,Finance,19287,18335,-952
Nov,Finance,18276,16882,-1394
Feb,Operations,13723,16271,2548
Feb,IT,17772,18779,1007
Nov,Operations,11102,11766,664
Apr,HR,14472,14709,237
Sep,HR,15918,16447,529
Feb,Sales,7122,8366,1244
Mar,Marketing,6626,6862,236
Sep,Finance,9834,10951,1117
Jun,Operations,16398,15436,-962
Aug,Finance,9229,6503,-2726
Aug,IT,11750,13720,1970
Jun,Marketing,17065,17078,13
Mar,Finance,10426,12398,1972
Apr,Sales,16497,13640,-2857
Oct,IT,12387,11323,-1064
Oct,Finance,15201,16689,1488
Feb,Operations,7310,4896,-2414
Dec,HR,8904,11077,2173
Sep,Sales,8110,10090,1980
Dec,IT,6216,8873,2657
Oct,Finance,18872,17710,-1162
Oct,Marketing,9488,10250,762
Jun,Marketing,8248,9513,1265
Sep,Marketing,16904,14782,-2122
Jun,HR,10052,12551,2499
Nov,Sales,11353,11143,-210
Jul,Marketing,17099,16563,-536
Jul,IT,9916,10144,228
Sep,IT,17053,16821,-232
Apr,Marketing,11319,9565,-1754
Jul,Finance,12866,13663,797
Jul,Marketing,8209,7144,-1065
Aug,IT,9974,7681,-2293
Jul,Finance,12612,9659,-2953
Mar,Operations,8998,10876,1878
May,HR,17364,17471,107
Feb,Sales,8206,6199,-2007
Aug,IT,18979,19846,867
Sep,Marketing,13127,12922,-205
May,Sales,19720,22537,2817
Jul,Marketing,15781,17264,1483
Jun,HR,5225,4908,-317
May,Finance,7672,5240,-2432
Jun,HR,6487,8294,1807
Nov,HR,10209,11480,1271
Dec,HR,13396,14138,742
Sep,Finance,8964,6893,-2071
Dec,Operations,14904,17858,2954
Dec,Marketing,14206,11422,-2784
Jul,Finance,7055,5524,-1531
Aug,Finance,14646,17180,2534
Mar,IT,13180,15450,2270
Apr,Operations,19383,21130,1747
Nov,Finance,19166,17829,-1337
Oct,Marketing,11225,11554,329
Aug,Operations,10412,10575,163
Jun,Operations,17640,17803,163
Dec,Finance,18534,19474,940
Aug,IT,6833,7367,534
Apr,IT,19633,18256,-1377
Oct,Operations,12858,11041,-1817
Aug,IT,19210,17201,-2009
Dec,HR,5713,6006,293
Oct,Operations,18430,18932,502
Oct,IT,18109,15338,-2771
Jul,Sales,12113,14658,2545
Nov,Sales,12080,9749,-2331
Jun,Finance,10173,13114,2941
Dec,Marketing,6951,5480,-1471
Feb,Operations,8037,6443,-1594
Sep,Operations,7697,8166,469
Aug,Operations,19882,18864,-1018
Apr,Operations,15902,15366,-536
Jan,HR,17299,14863,-2436
Jan,Sales,15429,17058,1629
May,Finance,11486,9763,-1723
Jan,Marketing,11879,13804,1925
Jun,Sales,14690,12759,-1931
Mar,Operations,11728,13713,1985
Nov,Marketing,14082,12703,-1379
Jul,Sales,5702,7580,1878
Apr,Operations,10747,12485,1738
Oct,Finance,19395,19900,505
Apr,HR,5229,7670,2441
Apr,IT,6224,5439,-785
Jun,Sales,7566,6549,-1017
Apr,Finance,13334,15997,2663
Feb,Marketing,5747,4774,-973
Jul,Sales,5895,6624,729
Sep,Sales,11262,9035,-2227
Dec,IT,18433,16093,-2340
Mar,IT,15511,16118,607
Dec,Operations,13446,11901,-1545
May,Operations,5471,4560,-911
Nov,Marketing,6156,8644,2488
Dec,HR,16503,15083,-1420
Jul,IT,13725,14155,430
Jul,IT,16189,14734,-1455
Dec,Finance,15083,13317,-1766
Aug,Marketing,13784,14141,357
Mar,Marketing,8691,6253,-2438
Sep,IT,5066,4982,-84
Dec,Finance,11004,9437,-1567
Oct,Marketing,5371,6437,1066
Oct,IT,13017,10743,-2274
Sep,Operations,13455,14761,1306
Dec,Finance,8392,6744,-1648
Nov,Finance,9868,12297,2429
Dec,HR,10742,7993,-2749
Aug,Finance,19891,17571,-2320
Sep,Operations,6314,3955,-2359
Jun,Sales,17477,17911,434
Jan,Operations,19870,22835,2965
Dec,Sales,12572,9772,-2800
Sep,Operations,13360,15520,2160
Dec,Sales,19922,20102,180
Jun,Marketing,10149,11961,1812
Jul,Sales,10115,9885,-230
Jul,Sales,7068,5553,-1515
Nov,Operations,18777,21644,2867
Aug,Marketing,7657,10043,2386
Jun,IT,10037,12827,2790
Dec,Marketing,9135,6810,-2325
Sep,Operations,16629,15945,-684
Jun,Sales,14066,12268,-1798
Dec,HR,17161,19608,2447
Mar,Sales,5221,7801,2580
Dec,Marketing,18862,16335,-2527
Feb,Finance,5513,7702,2189
Mar,HR,13335,12993,-342
Dec,Marketing,16596,19352,2756
Sep,Sales,9580,8837,-743
Mar,HR,12167,9645,-2522
Mar,HR,17313,17645,332
Oct,Marketing,15191,16923,1732
Nov,IT,7878,8831,953
Feb,Sales,16975,14825,-2150
Aug,Operations,14024,11098,-2926
Aug,Operations,16444,16500,56
Jul,Marketing,12506,13831,1325
Sep,Sales,8126,8535,409
Nov,IT,7076,5157,-1919
Mar,Finance,18076,20766,2690
Jul,Operations,7452,10228,2776
Dec,Finance,14627,13280,-1347
Jun,Operations,7397,7392,-5
Jul,Sales,6592,9401,2809
Apr,Operations,19840,20584,744
Apr,HR,12177,10368,-1809
Jan,Operations,12383,11108,-1275
Mar,Marketing,18531,19211,680
Feb,HR,11098,8138,-2960
Jun,HR,14863,13510,-1353
Jan,Finance,10318,9395,-923
Feb,Marketing,16257,14481,-1776
Feb,Marketing,15072,17057,1985
Apr,Sales,5450,2764,-2686
Oct,HR,6160,3775,-2385
Jan,HR,13484,14508,1024
May,Finance,13508,15270,1762
Mar,Operations,11645,9636,-2009
Apr,Sales,5327,5246,-81
Apr,Sales,14682,17624,2942
Jun,Finance,14213,16169,1956
Feb,Marketing,5533,4803,-730
Jan,HR,17683,19434,1751
Jun,Marketing,10727,12173,1446
Aug,Sales,7365,5380,-1985
May,Marketing,19983,21297,1314
May,Finance,14420,12704,-1716
Aug,Sales,9373,10381,1008
Jan,HR,5076,5753,677
Sep,HR,11066,13870,2804
Mar,Finance,17011,14531,-2480
Apr,Sales,5120,5504,384
Aug,Sales,12925,13592,667
Jan,Marketing,15748,18545,2797
Sep,HR,15857,13499,-2358
Sep,Operations,19602,22511,2909
Feb,Operations,15949,15642,-307
Mar,Operations,6729,6254,-475
Apr,Sales,12682,14510,1828
May,Operations,10345,9160,-1185
Jan,IT,5885,6170,285
Jun,Marketing,19338,19039,-299
Nov,Operations,6895,7110,215
Mar,Finance,9642,11315,1673
Mar,Sales,13603,14973,1370
Apr,Sales,11099,10697,-402
Mar,Operations,7262,4680,-2582
Dec,Sales,8264,8184,-80
Dec,HR,5556,4642,-914
Sep,Finance,6860,9366,2506
Dec,Finance,15645,17519,1874
Aug,Sales,12572,9883,-2689
Oct,Operations,5129,2326,-2803
Oct,Finance,5396,4414,-982
Jun,Operations,12052,12088,36
Jan,Sales,7669,8217,548
Jun,Marketing,15369,14566,-803
Nov,HR,13367,13934,567
Sep,Marketing,11640,12484,844
Jul,HR,7379,7063,-316
Nov,Sales,8737,6815,-1922
Sep,Sales,9270,10105,835
Feb,IT,16835,15461,-1374
Mar,Operations,8330,7576,-754
Jan,Finance,14933,14323,-610
Dec,Finance,18757,17696,-1061
May,Operations,10908,9752,-1156
Jan,Marketing,7170,8821,1651
Aug,IT,9156,8476,-680
Jul,Sales,18332,18273,-59
Jul,HR,5982,8802,2820
Aug,HR,17057,17647,590
Jul,Marketing,9883,8123,-1760
Sep,Operations,8750,7659,-1091
Oct,Finance,16653,17665,1012
Apr,IT,19215,18158,-1057
Nov,HR,15464,12880,-2584
Nov,HR,8653,8442,-211
May,Finance,7759,5758,-2001
Aug,Sales,11175,9156,-2019
May,Operations,13845,15700,1855
May,Marketing,6553,5179,-1374
Mar,Finance,15217,16998,1781
Oct,Operations,17548,15186,-2362
Aug,HR,19361,21949,2588
Oct,Marketing,11380,12040,660
Oct,IT,15224,14266,-958
Jun,Finance,10327,7550,-2777
Mar,HR,11695,8981,-2714
Feb,Sales,17581,19019,1438
May,HR,11625,9982,-1643
Apr,IT,9619,12516,2897
May,Sales,15016,17647,2631
Feb,Marketing,9663,9377,-286
Jan,HR,17433,19616,2183
Jun,Finance,10394,13182,2788
Aug,Finance,15366,15748,382
May,Finance,12708,11163,-1545
Feb,Finance,16399,16058,-341
Jun,Operations,9516,12381,2865
Apr,Operations,16008,13183,-2825
May,Sales,10682,10705,23
Dec,IT,13845,12870,-975
Oct,Finance,19332,17088,-2244
Oct,Operations,17320,18526,1206
Sep,Operations,13144,15416,2272
Sep,Operations,9117,9406,289
Jun,Sales,12877,12963,86
Jun,Finance,7760,10043,2283
May,Finance,7818,7769,-49
Aug,IT,15734,16815,1081
Oct,IT,16128,18904,2776
Aug,IT,17776,20668,2892
Jan,Finance,11239,11314,75
Apr,Finance,9962,11223,1261
Sep,Operations,15843,15410,-433
Nov,Operations,17556,15325,-2231
Aug,Sales,8212,9134,922
Oct,Sales,13912,15285,1373
Apr,Finance,13686,13319,-367
Aug,Marketing,8605,7357,-1248
Nov,Sales,8825,7059,-1766
Sep,Marketing,18359,19929,1570
Feb,Finance,19772,19854,82
Aug,Operations,9710,7477,-2233
May,Finance,18415,21073,2658
Jun,Marketing,19435,18945,-490
May,HR,16347,19140,2793
Oct,Finance,14985,13108,-1877
Feb,HR,10022,8444,-1578
Mar,Finance,8910,10710,1800
Jul,Sales,17054,15683,-1371
Mar,Operations,6634,9598,2964
Dec,Marketing,10305,13129,2824
Feb,HR,15735,17217,1482
Feb,Marketing,15110,17451,2341
Mar,Marketing,6457,7485,1028
Feb,Sales,18337,17291,-1046
Jun,Finance,17903,17274,-629
Sep,Sales,17996,16245,-1751
Apr,Sales,5615,5598,-17
Apr,IT,8202,7720,-482
Mar,Marketing,7305,4307,-2998
Dec,HR,9269,7255,-2014
Feb,Finance,12014,13219,1205
May,HR,6107,5320,-787
Mar,IT,6388,5345,-1043
Jul,Operations,13110,12365,-745
Oct,HR,14545,14310,-235
Nov,HR,6582,8820,2238
Jun,Operations,11913,11841,-72
Sep,Operations,15575,16831,1256
Jan,HR,8562,10130,1568
Dec,Operations,5513,3740,-1773
Aug,Marketing,19518,20319,801
Sep,IT,16380,14928,-1452
Mar,IT,9622,7464,-2158
May,HR,16255,13773,-2482
Jun,HR,15262,13751,-1511
Oct,Marketing,16864,18062,1198
May,HR,10350,12085,1735
Dec,HR,10244,12803,2559
Jul,Sales,16320,13852,-2468
Mar,HR,7093,9189,2096
Jun,IT,8332,9365,1033
Feb,Marketing,15947,17004,1057
Aug,Finance,19122,16850,-2272
Feb,IT,8503,6798,-1705
Jan,Marketing,10250,11449,1199
Nov,Sales,5307,5193,-114
Feb,HR,16894,15190,-1704
Mar,IT,13540,10895,-2645
Mar,HR,12415,10132,-2283
Dec,Operations,8367,10335,1968
Sep,IT,12836,13102,266
Jan,Operations,6310,7969,1659
Sep,IT,8270,8683,413
Jan,Sales,11034,10016,-1018
Oct,IT,18059,15653,-2406
Aug,Marketing,19846,16866,-2980
Dec,Finance,11927,12907,980
Oct,Finance,14616,16725,2109
Mar,HR,18167,17482,-685
Oct,Sales,10871,11409,538
Sep,IT,18051,17583,-468
Mar,Sales,11732,11194,-538
Aug,Sales,17384,17533,149
Jan,Finance,15052,17548,2496
Aug,IT,17388,18160,772
Apr,Finance,5309,4983,-326
Jun,Sales,19111,18059,-1052
Sep,Finance,7898,8566,668
Feb,Operations,17237,16706,-531
Feb,HR,11112,9514,-1598
Apr,Operations,17322,16459,-863
Apr,Finance,15234,12849,-2385
Sep,HR,11947,10057,-1890
May,Sales,19189,20393,1204
Mar,IT,12495,13468,973
Jun,IT,14846,17722,2876
Mar,HR,19213,17226,-1987
Jul,Finance,19018,16382,-2636
Aug,Operations,16674,17022,348
Aug,IT,6872,7297,425
Jul,Sales,5248,4791,-457
Nov,Sales,13877,12250,-1627
Jan,Finance,19772,21917,2145
Aug,Marketing,8236,5300,-2936
Jul,Finance,17398,18036,638
Dec,HR,14076,14407,331
Feb,Marketing,15959,14516,-1443
Sep,Marketing,16364,17604,1240
Oct,Operations,19516,20489,973
Sep,Operations,8838,6772,-2066
Jul,Sales,8695,6531,-2164
May,Operations,15509,16508,999
Sep,HR,9661,6916,-2745
Jun,Operations,17743,17752,9
Aug,IT,5157,7377,2220
Apr,Marketing,18816,21447,2631
Jan,Sales,19151,21073,1922
Jun,Finance,12655,15150,2495
Dec,IT,19017,20769,1752
Aug,Sales,9435,12096,2661
Oct,Marketing,14259,14477,218
Mar,IT,13640,11351,-2289
Jan,HR,12357,13539,1182
Aug,Operations,19000,21395,2395
Dec,IT,5159,6298,1139
Jul,Operations,17002,19056,2054
Oct,Finance,13486,13783,297
Nov,Sales,14221,16216,1995
Jul,HR,10935,8822,-2113
Dec,Marketing,5373,7314,1941
Feb,IT,18436,21120,2684
Feb,Sales,14404,13007,-1397
Oct,Finance,12093,12773,680
Sep,Marketing,5406,5980,574
Jan,HR,18937,17477,-1460
Nov,Sales,16841,14042,-2799
Sep,Operations,9322,10992,1670
Jan,IT,14009,14434,425
Mar,HR,9975,10521,546
Mar,Sales,8133,6846,-1287
Feb,IT,13033,14428,1395
Feb,Finance,5226,4542,-684
Dec,Finance,19893,21211,1318
Dec,Marketing,13383,15743,2360
Aug,HR,19727,17458,-2269
Mar,Sales,10975,8743,-2232
Feb,Sales,5576,6812,1236
Oct,Marketing,5388,2468,-2920
Jan,IT,17481,14745,-2736
Jul,Finance,13090,12161,-929
Nov,IT,7553,9296,1743
Feb,Operations,14451,11699,-2752
May,Marketing,5368,2394,-2974
Nov,IT,8515,10647,2132
Apr,Sales,12804,12929,125
Mar,Marketing,16777,14676,-2101
Sep,Operations,11294,13833,2539
Apr,Marketing,11057,11115,58
Nov,HR,19424,22063,2639
Feb,Finance,12391,14017,1626
Mar,HR,14752,12704,-2048
Mar,Sales,18349,18607,258
Feb,IT,19796,21944,2148
Sep,Marketing,16475,15287,-1188
Sep,Marketing,19685,18776,-909
Nov,Marketing,17381,19025,1644
Apr,IT,19076,17919,-1157
May,Sales,11286,12711,1425
Apr,HR,6303,5253,-1050
May,IT,11999,11379,-620
Aug,Marketing,5097,3752,-1345
Dec,Marketing,11524,12234,710
May,IT,13703,13826,123
Nov,Sales,17104,17132,28
Jun,Sales,13057,13978,921
Dec,Sales,17373,15218,-2155
Jun,Marketing,12726,11238,-1488
Nov,Marketing,10538,9616,-922
Jul,Sales,5274,6704,1430
Oct,Finance,7033,7180,147
Feb,Marketing,8205,6777,-1428
Feb,Operations,16441,19179,2738
May,Sales,9429,10475,1046
Oct,IT,13509,11744,-1765
Apr,IT,17393,14430,-2963
Dec,Finance,17633,19327,1694
Nov,Marketing,9638,10549,911
Nov,Finance,11837,11230,-607
May,HR,15455,12990,-2465
Aug,IT,17954,18419,465
Aug,Operations,6039,5715,-324
Nov,Operations,19949,18253,-1696
Mar,Sales,5329,5580,251
Jan,Marketing,6526,7153,627
Jan,Marketing,13520,14935,1415
May,Sales,16670,14863,-1807
Sep,IT,14793,12601,-2192
Oct,Finance,16705,13753,-2952
Jul,Sales,8126,5367,-2759
May,Sales,7888,8282,394
Nov,Sales,8420,8708,288
Jan,HR,5341,2992,-2349
May,Marketing,7517,9996,2479
Sep,Finance,8665,7501,-1164
Jun,HR,6904,7851,947
Jun,HR,7343,8780,1437
Dec,IT,10787,11854,1067
Mar,Marketing,10461,9773,-688
Mar,Sales,10395,11284,889
Jul,HR,14558,12192,-2366
May,Finance,5833,5048,-785
Nov,HR,8127,7897,-230
Sep,Marketing,7549,5323,-2226
Aug,Operations,13946,11629,-2317
Feb,Sales,9641,7891,-1750
Dec,HR,10520,7558,-2962
May,Finance,6223,5795,-428
Feb,Operations,15983,13512,-2471
Jun,Sales,13996,13504,-492
Oct,IT,15306,14271,-1035
May,Sales,12421,10850,-1571
Jul,Marketing,17185,14709,-2476
Jun,IT,14694,15163,469
Jun,Marketing,12341,14597,2256
Jun,HR,6552,7435,883
Aug,IT,18886,17773,-1113
Nov,Operations,6959,8316,1357
Dec,Sales,12915,12595,-320
Nov,Finance,15417,17446,2029
Jan,Marketing,14934,17046,2112
Apr,Operations,7572,4935,-2637
Sep,Marketing,18739,19083,344
Feb,IT,13459,12903,-556
Oct,HR,17886,19712,1826
Feb,HR,11850,10873,-977
Dec,Sales,13117,15678,2561
Jan,Finance,6258,8123,1865
Oct,Finance,13635,12792,-843
Feb,Sales,12300,14405,2105
Feb,IT,5901,4324,-1577
Feb,Sales,19359,17809,-1550
Apr,IT,17722,14932,-2790
Mar,Operations,19213,17453,-1760
Jan,Operations,16863,15449,-1414
Dec,Operations,15288,13011,-2277
Mar,Marketing,7242,8137,895
Jun,HR,17599,16731,-868
May,Marketing,10367,13025,2658
Mar,Finance,13187,12097,-1090
Jul,Operations,5334,4871,-463
Apr,Operations,19667,18935,-732
Oct,Finance,12146,13669,1523
May,IT,19643,19494,-149
Apr,Sales,10394,7758,-2636
Dec,IT,11456,13621,2165
Jan,Operations,10142,8456,-1686
Apr,Sales,10075,9208,-867
Sep,Finance,7390,9834,2444
Dec,Operations,19205,20258,1053
Jan,Operations,7187,8134,947
Oct,Finance,18785,19588,803
Aug,Operations,13046,10161,-2885
Aug,IT,13938,16139,2201
Oct,IT,12596,14385,1789
May,HR,15258,13339,-1919
May,IT,10347,11840,1493
Aug,Sales,14861,16185,1324
Oct,Sales,18386,20798,2412
Nov,Marketing,12011,11069,-942
Mar,HR,8249,6295,-1954
Nov,HR,10622,9619,-1003
Aug,Marketing,16798,15890,-908
May,IT,17945,18208,263
Aug,Finance,12221,10304,-1917
Dec,IT,18586,21510,2924
Aug,Operations,17639,20281,2642
Dec,Operations,5052,5289,237
Sep,IT,13248,14143,895
Nov,Operations,5319,6122,803
Apr,Operations,6588,5435,-1153
Sep,HR,12413,11027,-1386
Apr,IT,12919,13122,203
Feb,Finance,6852,4857,-1995
Nov,Finance,8499,8714,215
Nov,Sales,18310,18422,112
May,Sales,7299,8773,1474
Nov,Finance,5219,7440,2221
Oct,Sales,8134,9039,905
Aug,Operations,10535,11886,1351
Dec,IT,19194,17603,-1591
Apr,HR,18295,19162,867
Feb,IT,15129,13512,-1617
Oct,Finance,6753,8112,1359
Oct,Marketing,14077,11835,-2242
Dec,Finance,14271,16198,1927
Oct,Marketing,17826,19382,1556
Sep,Marketing,18603,21591,2988
Jan,HR,11974,12581,607
Dec,Finance,17965,15641,-2324
Jul,Operations,14243,13012,-1231
Jun,Finance,17188,17295,107
Nov,Sales,12726,12429,-297
Aug,IT,5023,5973,950
May,IT,9692,7522,-2170
Sep,Finance,13954,14315,361
Aug,Marketing,6349,6896,547
Dec,Operations,8014,8703,689
Aug,Finance,12369,12729,360
Oct,Operations,12558,10952,-1606
Jun,Sales,18476,20789,2313
Oct,Sales,7416,5626,-1790
Mar,Operations,8749,7445,-1304
Mar,Finance,16203,15841,-362
Jan,Sales,14131,11345,-2786
Dec,Finance,6521,6397,-124
Jun,Sales,5681,6138,457
Nov,Operations,19157,18529,-628
Jul,Sales,10650,12199,1549
Jan,HR,18865,17583,-1282
Jan,Sales,10642,8302,-2340
Jun,Marketing,14334,13721,-613
Jul,Sales,11007,12431,1424
Dec,Finance,10342,12541,2199
May,HR,17128,16057,-1071
May,Finance,19241,21860,2619
Apr,IT,9823,10509,686
Jun,Sales,15426,14881,-545
Dec,Operations,12138,11770,-368
Apr,Operations,14789,12174,-2615
Jun,IT,5617,3411,-2206
Jan,Finance,15937,13567,-2370
Sep,Operations,14554,13377,-1177
Oct,Operations,11082,12715,1633
Dec,Marketing,13033,10077,-2956
Mar,Operations,8750,9701,951
Aug,Sales,7574,8273,699
Jun,Marketing,11934,13020,1086
Apr,Sales,19787,20869,1082
Jul,IT,8440,11102,2662
Oct,HR,6728,7504,776
Nov,IT,5474,6612,1138
Jan,IT,12993,13089,96
Aug,Operations,11396,12577,1181
Jun,Finance,14710,13444,-1266
Jan,IT,17546,18001,455
May,Sales,12913,11441,-1472
Jun,HR,19671,20617,946
Feb,Sales,6136,6140,4
Jun,Marketing,8113,5955,-2158
Mar,Operations,14356,15804,1448
Nov,Marketing,19154,16394,-2760
Nov,Operations,12159,12598,439
Jun,Marketing,14421,14821,400
Aug,Finance,19283,18285,-998
Mar,HR,17431,15369,-2062
Aug,Sales,10292,13067,2775
Jan,Sales,15421,16423,1002
Sep,Sales,19358,21817,2459
Oct,HR,6260,3494,-2766
May,HR,17647,19122,1475
Nov,Operations,14301,14323,22
May,Sales,7545,10186,2641
Apr,Sales,15866,16389,523
Sep,IT,10115,11559,1444
Nov,Finance,14535,17450,2915
Nov,Marketing,6735,3858,-2877
Mar,Operations,18744,21287,2543
Jan,HR,19207,17215,-1992
Dec,Finance,5918,6808,890
Jan,Finance,13914,12460,-1454
Sep,Operations,7555,7119,-436
Nov,Operations,9176,12021,2845
Jun,Operations,11196,12242,1046
Jul,IT,9081,11808,2727
Jul,IT,7497,5627,-1870
Dec,Finance,11260,14173,2913
Aug,Marketing,12377,12235,-142
Apr,HR,14502,14518,16
Sep,Operations,17942,14949,-2993
Oct,Marketing,9610,11195,1585
Jan,Operations,11886,10689,-1197
Jul,Sales,14623,15172,549
Mar,IT,12889,11730,-1159
Dec,HR,11168,9417,-1751
Mar,Sales,5949,5862,-87
Aug,Operations,10242,11321,1079
Jul,Marketing,14422,14818,396
Aug,Operations,6718,6939,221
Apr,Finance,19930,20549,619
Jun,HR,7486,4487,-2999
May,Sales,10901,10429,-472
Oct,HR,16966,16660,-306
Jul,IT,6314,8980,2666
Jan,Sales,12135,10513,-1622
Sep,IT,18252,17750,-502
Jun,HR,19855,18962,-893
Feb,Sales,6718,8621,1903
Dec,Finance,18477,16873,-1604
Aug,HR,8660,8249,-411
Nov,IT,11884,12095,211
Jan,HR,7727,10525,2798
Apr,HR,16135,15347,-788
Sep,Operations,12030,10800,-1230
May,IT,10704,8031,-2673
Sep,Finance,11094,9717,-1377
