date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met
2023-05-10,1065,3410.52,1259.7,0.32,2546.27,normal,713.0,0.28,515.36,431.37,7,832.45,44,0,265.38,2254.49,Salary,1648.22,Groceries,Positive,32.2,Medium,2150.82,0
2023-06-09,1683,4741.9,3116.86,0.26,3120.58,inflation,630.0,0.44,222.7,424.96,5,1815.05,53,0,639.51,2999.14,Salary,1114.07,Utilities,Negative,48.4,Low,1625.04,0
2023-07-09,1160,3854.53,2141.09,0.31,2531.1,normal,677.0,0.27,313.4,27.85,3,108.19,43,0,656.06,2299.9,Salary,1082.03,Investments,Positive,77.3,Low,1713.44,0
2023-08-08,1734,3766.71,3621.94,0.23,2240.93,normal,700.0,0.55,508.37,528.38,2,1535.86,24,0,673.11,2852.3,Salary,642.87,Rent,Positive,11.2,Medium,144.77,0
2023-09-07,1203,5214.41,2166.49,0.22,2550.97,normal,770.0,0.47,572.45,792.44,9,743.84,31,0,452.21,2536.46,Salary,1219.21,Entertainment,Positive,97.8,Medium,3047.92,1
2023-10-07,1670,4072.72,2032.31,0.06,2682.71,inflation,694.0,0.22,652.77,670.54,6,1048.08,51,0,181.12,2802.07,Salary,1283.18,Transportation,Positive,95.6,Low,2040.41,0
2023-11-06,1933,4019.7,2752.15,0.28,2701.8,normal,689.0,0.33,426.17,353.85,7,1568.92,25,0,593.34,1068.64,Salary,1865.37,Transportation,Positive,82.2,Low,1267.55,0
2019-01-01,1666,3258.17,2480.44,0.16,2906.09,normal,597.0,0.54,387.0,517.52,6,1103.66,30,0,662.83,1857.09,Salary,932.19,Investments,Negative,20.0,Low,777.73,0
2019-01-31,1789,2768.86,1750.8,0.29,3560.72,normal,702.0,0.45,516.47,1051.06,5,1230.7,25,0,220.35,2918.28,Salary,300.0,Rent,Positive,9.9,High,1018.06,0
2019-03-02,1592,3396.54,2905.66,0.06,1994.39,normal,657.0,0.33,758.64,567.45,8,1139.14,48,0,611.24,2083.19,Mixed,1302.25,Rent,Positive,69.6,Low,490.88,0
2019-04-01,1408,4391.95,4069.04,0.31,2806.62,recession,680.0,0.18,552.95,0.0,1,288.36,21,0,350.99,3077.52,Salary,1179.31,Transportation,Positive,69.2,Low,322.91,0
2019-05-01,1804,3979.12,4280.9,0.35,4101.56,inflation,750.0,0.27,522.42,404.11,7,783.1,59,0,228.5,2087.76,Freelance,1308.97,Dining Out,Neutral,85.7,High,0.0,0
2019-05-31,1808,4802.64,2572.23,0.32,2511.17,recession,695.0,0.6,827.88,121.08,5,1537.94,69,0,460.5,3001.88,Salary,1397.86,Utilities,Negative,5.7,High,2230.41,0
2019-06-30,1785,4277.12,2554.34,0.07,3128.51,recession,648.0,0.37,967.68,397.2,8,1372.75,65,0,378.13,1572.15,Salary,1540.42,Entertainment,Positive,77.1,Medium,1722.78,0
2019-07-30,1671,4480.08,2618.86,0.08,3506.07,normal,713.0,0.38,554.22,235.42,5,1267.36,33,0,166.91,2340.28,Freelance,1334.49,Utilities,Positive,46.1,Low,1861.22,0
2019-08-29,1463,4504.05,3495.71,0.33,1883.7,normal,654.0,0.12,674.75,584.07,2,1607.61,58,0,777.48,2764.99,Mixed,713.6,Utilities,Positive,72.8,Low,1008.34,0
2019-09-28,1788,2699.8,3344.48,0.36,3116.25,normal,637.0,0.22,513.32,533.78,9,1167.35,68,0,614.46,2244.25,Salary,1698.5,Insurance,Negative,22.8,Medium,0.0,0
2019-10-28,1647,3287.92,2927.23,0.2,1804.6,recession,659.0,0.49,360.71,523.87,3,803.95,46,0,613.41,1411.17,Salary,1237.32,Investments,Negative,75.7,Low,360.69,0
2019-11-27,1485,2761.4,3472.7,0.11,2604.13,normal,656.0,0.28,701.48,0.0,4,751.98,54,0,495.84,1538.37,Freelance,1184.58,Education,Positive,26.4,Low,0.0,0
2019-12-27,1285,5728.92,3119.95,0.36,2274.25,inflation,594.0,0.1,158.26,47.05,1,1010.98,31,1,470.69,1000.0,Salary,1048.07,Investments,Negative,42.9,Low,2608.97,1
2020-01-26,1051,5818.42,3482.83,0.17,4052.73,normal,597.0,0.25,438.88,976.79,1,815.23,79,0,311.56,3460.6,Salary,1308.32,Entertainment,Positive,25.9,Low,2335.59,0
2020-02-25,1372,3708.57,1471.64,0.26,2363.85,normal,655.0,0.4,562.29,528.33,4,1562.48,72,0,278.15,1685.83,Mixed,1151.34,Healthcare,Neutral,56.7,High,2236.93,0
2020-03-26,1672,3430.78,1850.13,0.23,3549.62,inflation,695.0,0.26,630.27,105.93,8,2048.3,20,0,651.68,2442.16,Salary,891.75,Groceries,Negative,20.8,High,1580.65,0
2020-04-25,1280,3986.88,2654.7,0.22,3285.38,normal,689.0,0.26,564.72,726.66,2,1169.52,84,0,575.1,2640.91,Salary,1228.4,Rent,Negative,49.4,Low,1332.18,0
2020-05-25,1524,4703.43,4581.72,0.31,3193.16,normal,680.0,0.35,630.81,1288.24,4,1066.51,59,0,473.21,2219.56,Salary,1673.28,Utilities,Neutral,45.0,Medium,121.71,0
2020-06-24,1831,4109.68,3691.78,0.38,2111.3,inflation,597.0,0.51,512.01,644.16,7,1420.79,24,0,681.89,2373.5,Salary,1444.73,Utilities,Negative,43.5,High,417.9,0
2020-07-24,1498,3713.28,2164.0,0.4,2578.97,recession,760.0,0.44,360.98,490.62,1,363.74,66,0,922.4,1814.41,Salary,1029.98,Entertainment,Positive,23.3,Low,1549.28,0
2020-08-23,1383,4367.91,3580.67,0.27,3009.42,recession,700.0,0.17,757.07,936.11,3,795.62,49,0,260.15,3310.91,Salary,1540.8,Groceries,Neutral,60.6,Low,787.24,0
2020-09-22,1336,5846.22,3218.23,0.32,3044.42,normal,704.0,0.43,683.44,231.23,8,674.59,84,0,601.16,2431.02,Salary,785.27,Utilities,Negative,35.5,Low,2627.99,0
2020-10-22,1161,4616.13,4008.41,0.12,2844.64,normal,679.0,0.19,498.12,398.73,4,0.0,25,1,468.56,1866.65,Salary,1365.73,Transportation,Positive,28.5,High,607.72,0
2020-11-21,1099,3147.63,2919.98,0.16,2467.59,inflation,655.0,0.3,577.77,660.31,3,704.45,46,0,727.47,2541.13,Salary,916.59,Transportation,Neutral,9.7,Medium,227.65,0
2020-12-21,1020,3925.14,2896.9,0.38,2980.01,normal,807.0,0.39,706.45,775.73,1,1389.52,37,0,315.38,2335.37,Salary,1774.67,Rent,Negative,73.0,Medium,1028.24,0
2021-01-20,1816,5516.76,2529.83,0.21,2215.5,recession,730.0,0.56,991.52,538.51,2,727.36,64,0,509.61,2339.71,Salary,1263.32,Transportation,Positive,12.9,Low,2986.93,1
2021-02-19,1323,4442.21,4621.18,0.24,2742.87,inflation,684.0,0.42,139.32,372.94,5,768.35,92,0,539.98,2285.56,Salary,300.0,Rent,Positive,17.4,Low,0.0,0
2021-03-21,1355,3579.27,3737.79,0.17,2366.75,normal,731.0,0.28,658.83,524.88,3,861.9,30,0,588.54,3133.75,Salary,1278.99,Investments,Positive,43.9,Medium,0.0,0
2021-04-20,1805,2474.88,3324.07,0.16,2767.98,normal,696.0,0.44,752.33,684.6,6,814.24,87,0,501.4,3600.13,Salary,1247.33,Groceries,Positive,21.3,Medium,0.0,0
2021-05-20,1192,2049.78,2352.66,0.35,3051.1,inflation,655.0,0.23,456.42,465.79,5,1429.13,32,0,308.75,3726.68,Salary,1697.84,Healthcare,Positive,0.6,Low,0.0,0
2021-06-19,1163,3501.07,2589.24,0.31,2950.98,normal,656.0,0.12,677.77,88.48,3,1859.19,38,0,725.98,2385.97,Salary,1541.38,Transportation,Positive,10.9,Medium,911.83,0
2021-07-19,1333,4599.99,3001.41,0.37,2848.76,recession,665.0,0.47,470.48,289.82,9,227.5,93,0,453.34,2357.19,Salary,893.38,Investments,Positive,30.8,Low,1598.58,0
2021-08-18,1169,2990.93,2714.58,0.2,2042.97,normal,684.0,0.17,561.79,598.51,8,221.72,84,0,684.88,2627.69,Freelance,999.33,Dining Out,Positive,26.0,Low,276.35,0
2021-09-17,1741,4600.92,1713.88,0.24,3231.79,normal,654.0,0.51,746.07,154.04,1,1294.22,69,0,527.33,1536.2,Freelance,1125.35,Rent,Neutral,27.4,Low,2887.04,0
2021-10-17,1021,4077.43,2765.5,0.14,2304.88,normal,717.0,0.58,442.84,395.29,5,254.77,62,0,381.56,2243.0,Salary,1192.83,Insurance,Positive,64.3,Low,1311.93,0
2021-11-16,1730,4482.92,2834.68,0.13,2120.53,normal,720.0,0.25,437.04,386.36,6,1599.62,24,0,436.62,2649.77,Salary,1237.66,Healthcare,Negative,26.6,Low,1648.24,0
2021-12-16,1582,3970.13,2110.35,0.06,2648.37,normal,671.0,0.54,440.4,646.38,8,1064.93,34,0,216.74,2636.24,Salary,1398.31,Rent,Positive,56.5,Medium,1859.78,0
2022-01-15,1888,3400.29,2324.12,0.15,3066.71,inflation,713.0,0.51,503.49,214.81,7,534.89,74,1,476.33,2655.42,Salary,573.14,Rent,Positive,13.4,High,1076.17,0
2022-02-14,1538,3019.64,3008.0,0.19,2585.22,recession,701.0,0.13,565.46,231.14,1,1600.26,26,0,630.0,2303.98,Freelance,1485.58,Entertainment,Negative,99.5,High,11.64,0
2022-03-16,1580,2511.69,3208.66,0.11,3096.48,normal,689.0,0.49,682.08,307.62,9,406.54,33,0,647.83,1497.29,Freelance,300.0,Rent,Neutral,40.5,Medium,0.0,0
2022-04-15,1395,2747.93,3700.17,0.29,2585.77,normal,641.0,0.54,608.09,240.11,1,2150.43,93,0,514.98,1912.63,Salary,1021.34,Dining Out,Positive,2.1,Low,0.0,0
2022-05-15,1849,3239.67,3570.34,0.21,2562.68,inflation,645.0,0.42,255.5,976.25,4,594.96,42,0,528.08,2350.71,Salary,1057.01,Rent,Neutral,58.5,Medium,0.0,0
2022-06-14,1732,4154.97,1125.06,0.34,2862.08,recession,664.0,0.56,394.0,638.03,7,1140.33,80,0,844.41,3038.61,Freelance,1524.79,Entertainment,Neutral,79.5,Low,3029.91,1
2022-07-14,1787,3757.38,2898.81,0.09,2216.65,normal,701.0,0.15,383.93,666.64,4,1024.38,38,0,767.68,1860.65,Freelance,1057.37,Insurance,Neutral,69.4,Low,858.57,0
2022-08-13,1803,5842.25,2002.82,0.08,2721.32,inflation,709.0,0.57,341.44,0.0,7,1072.42,55,0,363.81,1348.8,Salary,403.94,Rent,Neutral,70.2,Medium,3839.43,1
2022-09-12,1121,4226.28,3012.43,0.09,2664.69,recession,761.0,0.57,303.42,454.08,9,716.32,94,0,705.69,2348.36,Salary,602.84,Rent,Positive,45.6,Low,1213.85,0
2022-10-12,1751,4241.91,2455.22,0.4,2132.46,inflation,700.0,0.58,419.5,370.62,5,2045.64,40,0,823.05,2871.61,Mixed,644.23,Education,Positive,30.4,Low,1786.69,0
2022-11-11,1572,3360.59,2987.21,0.39,1992.49,normal,678.0,0.5,495.91,291.6,4,1114.26,64,0,883.94,1833.94,Salary,1646.15,Dining Out,Negative,87.0,Low,373.38,0
2022-12-11,1925,4397.2,3052.77,0.09,2611.9,inflation,649.0,0.23,378.74,603.35,9,1277.87,80,0,648.2,2494.39,Salary,1128.63,Utilities,Neutral,12.1,Low,1344.43,0
2023-01-10,1277,4198.33,2684.49,0.16,2874.44,inflation,712.0,0.21,478.66,695.56,9,1047.97,47,0,333.39,1839.38,Salary,1293.3,Healthcare,Neutral,78.0,Low,1513.84,0
2023-02-09,1643,3932.59,2636.22,0.23,2747.25,inflation,768.0,0.58,226.21,0.0,7,1349.69,46,0,311.75,1811.79,Mixed,1135.94,Rent,Positive,13.9,Low,1296.37,0
2023-03-11,1428,2212.12,2869.52,0.19,2128.04,inflation,648.0,0.35,522.04,351.64,6,1270.42,36,0,620.52,2492.22,Salary,1145.58,Entertainment,Neutral,91.9,Medium,0.0,0
2023-04-10,1014,2414.64,2246.85,0.38,3611.74,normal,789.0,0.27,292.08,320.72,7,1247.25,73,0,617.38,2025.78,Salary,1459.79,Groceries,Positive,35.4,Low,167.79,0
2023-05-10,1063,4214.54,3943.6,0.14,2091.56,inflation,655.0,0.16,257.64,322.5,5,1318.14,60,0,296.48,2895.81,Salary,1293.01,Healthcare,Neutral,95.2,Medium,270.94,0
2023-06-09,1167,3715.42,2113.27,0.36,2840.06,normal,654.0,0.42,476.82,482.24,3,271.78,55,0,333.01,2215.34,Salary,1254.66,Rent,Neutral,87.0,Low,1602.15,0
2023-07-09,1164,5136.31,1769.91,0.16,2880.24,normal,664.0,0.19,534.33,566.83,2,1868.06,56,0,525.61,3150.4,Mixed,1501.18,Transportation,Positive,26.5,Low,3366.4,1
2023-08-08,1472,3962.23,3708.07,0.27,2791.84,recession,748.0,0.31,413.41,169.76,4,1330.26,94,0,569.85,1029.51,Salary,1290.04,Education,Positive,76.3,Medium,254.16,0
2023-09-07,1397,4400.31,3471.66,0.08,2275.42,normal,674.0,0.15,561.82,0.0,1,893.96,95,0,455.39,2141.02,Freelance,1631.4,Education,Neutral,59.0,Low,928.65,0
2023-10-07,1156,5580.52,3513.19,0.12,2823.33,normal,680.0,0.54,494.01,444.44,9,405.32,81,0,465.79,1592.32,Freelance,783.34,Education,Positive,37.6,Medium,2067.33,0
2023-11-06,1925,4917.63,3581.68,0.24,3443.1,normal,596.0,0.22,349.85,429.32,8,1504.53,95,0,134.81,2684.61,Salary,1184.63,Transportation,Negative,55.8,Medium,1335.95,0
2019-01-01,1599,1891.43,2912.34,0.27,2565.96,recession,699.0,0.15,489.13,477.14,2,1110.61,59,0,432.13,2626.89,Freelance,1393.5,Transportation,Neutral,71.5,High,0.0,0
2019-01-31,1958,5080.44,2690.79,0.4,2733.13,inflation,628.0,0.59,656.59,712.86,3,1083.98,43,0,684.2,2351.38,Salary,647.99,Insurance,Positive,9.4,High,2389.65,0
2019-03-02,1870,3509.17,3512.01,0.16,2814.4,recession,614.0,0.36,301.77,1188.0,8,1561.23,37,0,934.37,2625.9,Salary,611.84,Entertainment,Positive,81.5,Medium,0.0,0
2019-04-01,1979,3011.78,3902.95,0.29,2872.22,normal,727.0,0.16,851.09,0.0,6,1016.8,68,0,618.45,2346.71,Mixed,815.69,Transportation,Positive,28.8,High,0.0,0
2019-05-01,1037,3766.66,2799.22,0.39,3287.03,inflation,615.0,0.55,0.0,463.51,7,1237.53,70,0,475.05,2637.13,Salary,1206.94,Utilities,Positive,80.0,Low,967.44,0
2019-05-31,1752,3889.28,1786.17,0.22,3815.38,normal,698.0,0.44,211.15,285.15,2,774.85,42,0,597.04,2463.0,Freelance,855.74,Entertainment,Positive,63.4,Medium,2103.11,0
2019-06-30,1397,3129.53,3770.92,0.37,3665.33,inflation,660.0,0.31,477.26,495.15,3,1722.78,44,0,457.83,1099.9,Salary,653.13,Rent,Neutral,72.5,Low,0.0,0
2019-07-30,1930,3107.57,2485.88,0.06,3860.52,inflation,703.0,0.56,549.96,578.18,9,1515.99,62,0,422.45,2259.41,Salary,923.48,Transportation,Negative,75.7,Low,621.69,0
2019-08-29,1154,4763.39,3122.35,0.19,2587.44,normal,743.0,0.17,953.62,634.83,1,1558.32,85,1,398.32,2308.92,Salary,532.82,Healthcare,Positive,18.8,Low,1641.04,0
2019-09-28,1963,2648.79,1408.03,0.09,3518.22,recession,744.0,0.37,123.09,224.6,2,1017.48,27,0,287.86,1935.56,Salary,1148.49,Transportation,Positive,4.9,Low,1240.76,0
2019-10-28,1447,4220.47,2406.9,0.26,2941.72,inflation,657.0,0.33,448.69,371.29,6,188.69,28,0,719.01,1395.3,Salary,1593.72,Education,Neutral,64.7,Low,1813.57,0
2019-11-27,1075,3721.67,1965.74,0.33,3273.66,normal,699.0,0.29,499.24,460.01,2,1018.89,72,0,0.0,2589.51,Salary,1339.14,Insurance,Positive,71.2,Low,1755.93,0
2019-12-27,1674,3551.42,3519.52,0.3,2156.62,normal,748.0,0.29,668.47,375.38,3,776.38,48,0,1155.77,1723.52,Salary,1676.37,Education,Neutral,66.3,Low,31.9,0
2020-01-26,1310,3432.58,3031.3,0.24,3192.88,recession,700.0,0.22,430.84,621.29,9,1606.24,23,0,876.67,2509.0,Salary,880.24,Groceries,Positive,79.3,Low,401.28,0
2020-02-25,1201,3899.34,4108.62,0.3,1966.21,normal,664.0,0.37,1064.1,460.52,1,1499.38,69,0,598.49,2541.93,Salary,330.13,Dining Out,Neutral,67.9,Medium,0.0,0
2020-03-26,1900,3808.43,2154.2,0.1,2060.09,normal,629.0,0.6,320.04,127.57,3,1041.29,25,0,556.85,2918.28,Salary,762.66,Transportation,Positive,68.1,High,1654.23,0
2020-04-25,1953,2461.78,1372.67,0.3,3114.1,recession,763.0,0.44,557.48,718.62,4,1333.9,54,0,369.41,2034.16,Salary,1558.73,Utilities,Negative,4.2,Low,1089.11,0
2020-05-25,1252,4358.15,1107.05,0.08,1901.55,inflation,664.0,0.37,696.93,427.17,9,1076.16,93,0,566.45,2941.9,Salary,1520.21,Rent,Positive,42.1,Low,3251.1,1
2020-06-24,1218,2127.13,1598.77,0.36,2838.25,normal,606.0,0.21,503.83,388.14,5,1357.34,66,0,734.39,1765.98,Salary,1334.1,Transportation,Positive,5.2,Low,528.36,0
2020-07-24,1081,4446.81,3056.6,0.05,3764.88,inflation,660.0,0.22,321.73,308.04,6,1459.97,31,0,393.67,2393.44,Salary,1608.21,Groceries,Positive,94.5,High,1390.21,0
2020-08-23,1511,4999.71,2924.79,0.14,1617.47,normal,735.0,0.34,664.56,217.69,3,2015.76,28,0,346.9,2016.75,Salary,1117.56,Dining Out,Positive,44.9,Medium,2074.92,1
2020-09-22,1280,2753.5,2620.0,0.29,2848.18,normal,628.0,0.36,599.85,513.21,9,1817.19,28,0,648.35,2190.87,Freelance,1151.16,Entertainment,Negative,73.7,Low,133.5,0
2020-10-22,1828,3422.1,3495.46,0.33,2732.69,normal,650.0,0.44,326.95,335.2,4,1129.31,70,0,440.98,2810.62,Salary,1327.58,Dining Out,Positive,27.2,Low,0.0,0
2020-11-21,1279,3275.27,2176.56,0.19,2770.52,recession,669.0,0.19,625.24,422.67,4,1227.66,78,0,326.46,1762.62,Salary,1008.79,Insurance,Negative,55.5,Low,1098.71,0
2020-12-21,1288,4834.54,2349.78,0.17,3351.42,normal,633.0,0.4,240.92,303.21,8,892.29,44,0,446.5,1440.51,Salary,804.26,Transportation,Negative,24.4,Low,2484.76,0
2021-01-20,1919,1172.52,2783.72,0.33,2399.12,normal,683.0,0.57,440.02,243.7,2,1840.21,77,0,342.06,1342.27,Freelance,2262.64,Groceries,Neutral,49.2,Medium,0.0,0
2021-02-19,1332,4195.37,1174.41,0.16,2979.51,normal,639.0,0.51,642.16,523.33,3,1549.86,69,0,468.61,1545.4,Freelance,1704.67,Rent,Positive,1.5,Medium,3020.96,1
2021-03-21,1510,6429.44,4014.06,0.29,2286.01,normal,743.0,0.46,441.69,71.33,1,7.62,51,0,136.72,1790.42,Salary,811.36,Transportation,Positive,41.4,Low,2415.38,1
2021-04-20,1890,4433.49,3215.15,0.18,1791.71,recession,717.0,0.58,501.06,972.17,5,1240.81,84,0,956.16,1757.93,Mixed,1076.14,Utilities,Positive,31.2,Low,1218.34,0
2021-05-20,1846,4486.17,5136.07,0.34,2876.22,normal,693.0,0.54,549.95,238.33,5,278.78,85,0,494.15,2084.99,Salary,632.41,Healthcare,Positive,2.5,Low,0.0,0
2021-06-19,1371,3570.72,3579.36,0.34,3143.54,inflation,757.0,0.13,497.05,652.28,6,2139.66,24,0,670.55,2347.54,Salary,1185.05,Utilities,Positive,21.4,Medium,0.0,0
2021-07-19,1147,3350.17,2928.87,0.11,3896.14,recession,668.0,0.53,439.65,190.19,3,577.15,81,0,694.9,1749.04,Salary,646.77,Investments,Neutral,63.6,Low,421.3,0
2021-08-18,1305,3089.53,3912.42,0.34,2892.15,normal,656.0,0.3,627.05,389.76,9,412.15,84,0,554.73,2726.64,Freelance,1562.75,Rent,Positive,13.8,Low,0.0,0
2021-09-17,1805,4401.94,3683.42,0.21,3038.19,normal,713.0,0.27,269.95,1027.34,4,1082.75,46,0,700.87,2832.69,Freelance,1234.42,Healthcare,Positive,86.6,Medium,718.52,0
2021-10-17,1059,4266.04,2042.77,0.3,2658.01,inflation,622.0,0.47,567.15,155.05,8,1067.29,63,0,602.65,2721.13,Freelance,2251.2,Groceries,Neutral,61.6,Medium,2223.27,0
2021-11-16,1955,5248.76,2266.01,0.08,2266.74,normal,691.0,0.5,637.88,459.92,6,778.23,36,0,404.26,1748.15,Salary,1252.64,Groceries,Positive,42.8,Medium,2982.75,1
2021-12-16,1776,5221.41,3665.15,0.38,2437.89,normal,649.0,0.13,628.21,569.76,9,1249.18,74,0,526.72,2279.8,Salary,803.89,Transportation,Positive,78.8,High,1556.26,0
2022-01-15,1597,4048.72,3784.15,0.22,2530.6,normal,603.0,0.59,339.36,253.85,7,0.0,87,0,270.61,2067.6,Freelance,1306.2,Healthcare,Negative,51.7,Medium,264.57,0
2022-02-14,1473,4040.51,2627.91,0.23,3206.36,normal,726.0,0.47,416.88,301.03,6,746.66,32,0,261.78,1761.81,Salary,2360.49,Investments,Neutral,75.1,High,1412.6,0
2022-03-16,1831,3964.65,2923.91,0.29,3017.87,recession,820.0,0.53,411.63,179.44,7,1573.37,96,0,556.89,1576.52,Mixed,1707.71,Rent,Positive,80.6,Medium,1040.74,0
2022-04-15,1899,5559.93,4185.59,0.24,2952.09,normal,644.0,0.53,564.79,646.17,8,1212.1,83,0,875.29,3885.25,Salary,912.66,Transportation,Positive,89.7,High,1374.34,0
2022-05-15,1570,3394.48,2227.33,0.38,3560.53,normal,661.0,0.47,446.25,196.18,8,911.22,51,0,333.02,2103.58,Salary,755.62,Investments,Neutral,48.8,High,1167.15,0
2022-06-14,1826,2052.7,1888.35,0.25,1898.91,normal,656.0,0.27,70.73,770.67,6,33.74,90,0,519.04,1908.68,Salary,965.66,Education,Positive,15.1,Medium,164.35,0
2022-07-14,1484,3812.68,2777.01,0.37,1808.35,normal,708.0,0.25,419.17,531.29,1,984.48,33,0,711.01,2347.32,Mixed,1152.65,Groceries,Neutral,23.7,Medium,1035.67,0
2022-08-13,1154,2949.03,2416.23,0.17,1932.28,normal,664.0,0.46,656.97,351.19,8,1023.27,49,0,628.23,2801.16,Salary,1641.57,Groceries,Negative,70.6,Medium,532.8,0
2022-09-12,1338,4814.9,4007.09,0.25,2679.18,normal,554.0,0.41,337.23,358.33,3,579.73,32,0,486.58,2061.25,Salary,359.29,Investments,Positive,52.7,High,807.81,0
2022-10-12,1027,3291.11,3327.54,0.15,2957.58,normal,674.0,0.55,368.21,786.48,9,1434.91,66,0,442.54,2909.5,Salary,1015.46,Rent,Positive,27.5,High,0.0,0
2022-11-11,1864,5261.41,2880.23,0.06,3180.42,recession,571.0,0.15,0.0,366.4,3,902.25,75,0,509.47,1672.65,Salary,1666.5,Education,Neutral,70.9,Low,2381.18,0
2022-12-11,1389,4529.38,4001.78,0.25,3568.74,recession,657.0,0.44,491.76,294.75,4,364.74,41,0,439.57,1458.89,Salary,1070.32,Transportation,Positive,42.7,Low,527.6,0
2023-01-10,1583,5606.25,3395.15,0.35,2878.46,recession,666.0,0.11,571.38,601.51,9,570.19,54,0,884.29,1612.32,Salary,690.7,Investments,Negative,83.2,Low,2211.1,0
2023-02-09,1039,4274.42,2488.32,0.14,3345.62,normal,545.0,0.58,373.1,320.55,7,1143.49,92,0,888.8,2699.16,Salary,645.61,Education,Positive,0.3,High,1786.1,0
2023-03-11,1782,2718.7,3333.79,0.21,3635.04,normal,708.0,0.38,867.41,606.57,4,819.28,23,0,121.73,3399.29,Freelance,1578.59,Groceries,Neutral,19.8,High,0.0,0
2023-04-10,1262,3264.93,3252.85,0.16,1862.55,inflation,600.0,0.45,695.42,383.75,8,1171.39,36,0,217.68,2895.48,Salary,449.42,Insurance,Positive,73.8,Medium,12.08,0
2023-05-10,1848,4257.1,3707.37,0.19,3599.7,recession,781.0,0.15,238.54,463.41,5,1457.34,83,0,341.25,1663.98,Salary,1253.04,Investments,Positive,6.8,Medium,549.73,0
2023-06-09,1516,3319.65,3477.78,0.24,2981.45,normal,743.0,0.32,374.91,94.32,4,0.0,88,0,491.15,1967.68,Salary,1414.09,Healthcare,Negative,33.8,Low,0.0,0
2023-07-09,1232,4921.25,2742.33,0.31,2781.88,inflation,598.0,0.19,84.26,488.71,1,1688.49,33,0,770.71,2036.08,Freelance,1462.89,Healthcare,Positive,15.6,Low,2178.92,0
2023-08-08,1197,4446.87,2686.4,0.34,3118.84,inflation,786.0,0.2,490.29,784.74,3,1199.88,33,0,435.65,2935.56,Salary,1210.08,Entertainment,Neutral,74.1,Low,1760.47,0
2023-09-07,1422,2833.25,3489.9,0.31,3128.3,inflation,690.0,0.48,408.9,679.71,7,1639.78,83,0,395.02,1815.19,Freelance,1125.18,Utilities,Positive,90.8,Low,0.0,0
2023-10-07,1552,3620.95,1901.57,0.1,1999.31,recession,667.0,0.19,282.26,524.59,4,813.78,89,0,587.22,2528.4,Freelance,1966.71,Insurance,Neutral,60.4,Low,1719.38,0
2023-11-06,1865,3535.77,3728.75,0.38,3244.4,inflation,692.0,0.2,568.17,727.25,4,784.2,82,0,223.32,2538.45,Salary,1466.76,Groceries,Positive,34.9,Low,0.0,0
2019-01-01,1173,6160.82,2177.59,0.38,2551.22,inflation,654.0,0.41,519.04,283.93,3,1178.22,92,0,522.14,1888.79,Salary,1668.33,Groceries,Positive,47.5,High,3983.23,1
2019-01-31,1020,4298.5,3221.17,0.38,2354.88,inflation,673.0,0.23,414.92,534.78,3,1888.48,66,0,779.58,2321.76,Salary,1846.04,Insurance,Positive,58.8,High,1077.33,0
2019-03-02,1047,3702.54,1112.14,0.31,2001.96,normal,774.0,0.23,292.23,468.97,1,439.36,55,0,721.98,3233.37,Salary,1775.24,Investments,Positive,44.3,Low,2590.4,1
2019-04-01,1789,3975.15,2748.29,0.11,3153.14,inflation,687.0,0.12,576.52,393.72,9,1456.48,92,0,686.99,1533.61,Salary,1403.79,Insurance,Positive,77.3,Medium,1226.86,0
2019-05-01,1846,3529.85,4021.32,0.24,2424.83,inflation,660.0,0.33,455.82,25.1,8,1723.19,73,0,583.51,2979.87,Freelance,1294.76,Utilities,Positive,37.0,Low,0.0,0
2019-05-31,1042,3641.88,3267.77,0.05,2862.18,inflation,688.0,0.33,379.18,354.98,4,809.5,85,0,350.23,1851.59,Salary,701.31,Education,Neutral,98.9,Medium,374.11,0
2019-06-30,1394,2544.3,4214.66,0.16,3077.87,recession,744.0,0.33,508.4,673.79,1,1584.47,68,0,416.13,2600.53,Salary,1034.32,Education,Positive,32.6,High,0.0,0
2019-07-30,1406,4907.74,4052.07,0.16,3173.14,normal,601.0,0.53,527.73,490.53,6,0.0,80,0,306.43,3244.13,Mixed,937.35,Entertainment,Positive,12.8,Low,855.67,0
2019-08-29,1404,2405.42,4386.39,0.32,4144.82,recession,770.0,0.42,322.36,102.27,3,1025.73,25,0,339.88,2002.05,Salary,1430.42,Rent,Neutral,6.2,Medium,0.0,0
2019-09-28,1886,5234.17,3556.83,0.15,3054.28,normal,665.0,0.39,419.42,206.82,5,2140.65,66,0,686.73,1188.17,Salary,817.47,Insurance,Positive,20.5,Low,1677.34,0
2019-10-28,1466,4775.91,4227.82,0.16,3301.0,normal,601.0,0.15,456.07,299.99,5,435.04,56,0,120.68,2814.52,Freelance,1328.93,Healthcare,Positive,31.4,Low,548.09,0
